Year,Month,Product,URL,,,,,,,,,,,,,
2019,4,SP15,https://download.microsoft.com/download/0/2/3/02361BD1-F617-4F54-9B4E-9645285F7D9F/ubersrv_2.cab,,,,,,,,,,,,,
2019,3,SP15,https://download.microsoft.com/download/B/C/8/BC8830FF-0987-4957-83F7-F95B66409792/ubersrv2013-kb4462219-fullfile-x64-glb.exe,,,,,,,,,,,,,
2019,3,SP15,https://download.microsoft.com/download/B/C/8/BC8830FF-0987-4957-83F7-F95B66409792/ubersrv_1.cab,,,,,,,,,,,,,
2019,3,SP15,https://download.microsoft.com/download/B/C/8/BC8830FF-0987-4957-83F7-F95B66409792/ubersrv_2.cab,,,,,,,,,,,,,
2019,2,SP15,https://download.microsoft.com/download/6/8/B/68BC17C0-CEEE-4597-8232-802DCE9454D9/ubersrv2013-kb4462152-fullfile-x64-glb.exe,,,,,,,,,,,,,
2019,2,SP15,https://download.microsoft.com/download/6/8/B/68BC17C0-CEEE-4597-8232-802DCE9454D9/ubersrv_1.cab,,,,,,,,,,,,,
2019,2,SP15,https://download.microsoft.com/download/6/8/B/68BC17C0-CEEE-4597-8232-802DCE9454D9/ubersrv_2.cab,,,,,,,,,,,,,
2019,1,SP15,https://download.microsoft.com/download/6/D/3/6D32C864-F385-4840-A618-CC86AAAB550B/ubersrv2013-kb4461605-fullfile-x64-glb.exe,,,,,,,,,,,,,
2019,1,SP15,https://download.microsoft.com/download/6/D/3/6D32C864-F385-4840-A618-CC86AAAB550B/ubersrv_1.cab,,,,,,,,,,,,,
2019,1,SP15,https://download.microsoft.com/download/6/D/3/6D32C864-F385-4840-A618-CC86AAAB550B/ubersrv_2.cab,,,,,,,,,,,,,
2018,12,SP15,https://download.microsoft.com/download/0/7/D/07DB09E4-9B90-4179-9CEC-E7F37D6C725E/ubersrv2013-kb4461555-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,12,SP15,https://download.microsoft.com/download/0/7/D/07DB09E4-9B90-4179-9CEC-E7F37D6C725E/ubersrv_1.cab,,,,,,,,,,,,,
2018,12,SP15,https://download.microsoft.com/download/0/7/D/07DB09E4-9B90-4179-9CEC-E7F37D6C725E/ubersrv_2.cab,,,,,,,,,,,,,
2018,11,SP15,https://download.microsoft.com/download/3/F/E/3FE8DE2D-ADD9-42A3-BD8F-531E01A7222B/ubersrv2013-kb4461510-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,11,SP15,https://download.microsoft.com/download/3/F/E/3FE8DE2D-ADD9-42A3-BD8F-531E01A7222B/ubersrv_1.cab,,,,,,,,,,,,,
2018,11,SP15,https://download.microsoft.com/download/3/F/E/3FE8DE2D-ADD9-42A3-BD8F-531E01A7222B/ubersrv_2.cab,,,,,,,,,,,,,
2018,10,SP15,https://download.microsoft.com/download/3/0/D/30D2A93A-B88D-4507-B71F-6A6A2D1ABCFF/ubersrv2013-kb4461458-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,10,SP15,https://download.microsoft.com/download/3/0/D/30D2A93A-B88D-4507-B71F-6A6A2D1ABCFF/ubersrv_1.cab,,,,,,,,,,,,,
2018,10,SP15,https://download.microsoft.com/download/3/0/D/30D2A93A-B88D-4507-B71F-6A6A2D1ABCFF/ubersrv_2.cab,,,,,,,,,,,,,
2018,9,SP15,https://download.microsoft.com/download/6/1/6/616BD018-CD14-4CE1-908C-B5EDE2446D30/ubersrv2013-kb4092476-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,9,SP15,https://download.microsoft.com/download/6/1/6/616BD018-CD14-4CE1-908C-B5EDE2446D30/ubersrv_1.cab,,,,,,,,,,,,,
2018,9,SP15,https://download.microsoft.com/download/6/1/6/616BD018-CD14-4CE1-908C-B5EDE2446D30/ubersrv_2.cab,,,,,,,,,,,,,
2018,8,SP15,https://download.microsoft.com/download/5/6/6/5664E5D9-B6A4-4762-B45F-44492E3C3628/ubersrv2013-kb4032247-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,8,SP15,https://download.microsoft.com/download/5/6/6/5664E5D9-B6A4-4762-B45F-44492E3C3628/ubersrv_1.cab,,,,,,,,,,,,,
